1;;0;0;0;0;-0.3826683;0.1993819;-2.129168;0.008923527;-0.9095514;-0.4154955;0.4723428;0.3700684;-0.7999635
2;;0;0;0;0;-0.0295498;0.07123361;-1.822909;-0.09039342;-0.9488708;-0.3024456;0.6476456;0.1746962;-0.7416444
3;;0;0;0;0;-0.1293173;-0.2415987;-1.596704;-0.387271;-0.8960582;-0.2170273;0.7892454;-0.2005298;-0.5804132
4;;0;0.2970871;-0.08134095;1.240872;-0.4819098;0.1506511;-1.196153;-0.6056347;-0.7411639;-0.289625;0.7550286;-0.4203021;-0.5032673
5;;0;0.02139414;0.007621521;0.09232252;-0.775345;0.1248633;-0.9503343;-0.5991653;-0.7722547;-0.2112429;0.7142476;-0.3963717;-0.576836
6;;0;5.056154E-08;0.2544312;-0.1359227;-0.7653938;0.05728333;-0.7485102;-0.5112776;-0.8482192;-0.1382732;0.7053392;-0.3222261;-0.6314008
7;;0;6.947257E-08;0.6854042;-0.3661574;-0.801382;0.005715822;-0.5029555;-0.4080029;-0.9110895;-0.05873305;0.662918;-0.2514053;-0.7052199
8;Muscle;0.2417205;-0.3233308;0.1360251;0.6376453;-0.9209223;-0.2137753;-0.5135543;-0.4209476;-0.9052995;-0.05688529;0.6460515;-0.2895775;-0.7062311
9;InterspinousLigament;0.3712187;-0.2636095;0.1353839;1.51108;-0.9754343;-0.3310099;-0.5209205;-0.4209476;-0.9052995;-0.05688529;0.600343;-0.2579274;-0.7570084
10;LigamentumFlavum;0.6830982;-0.3715281;0.1644749;1.063594;-1.10672;-0.6133541;-0.538662;-0.4209476;-0.9052995;-0.05688529;0.5679205;-0.2751373;-0.7757356
11;LigamentumFlavum;0.9478356;-0.2340102;0.112151;1.016288;-1.21816;-0.8530209;-0.5537216;-0.4209476;-0.9052995;-0.05688529;0.5664682;-0.3121187;-0.7626898
12;LigamentumFlavum;1;0.08304662;0.7258395;1.386966;-1.240119;-0.9002452;-0.556689;-0.4209476;-0.9052995;-0.05688529;0.5639479;-0.3256788;-0.7588782
13;LigamentumFlavum;1;0.3961387;1.225292;1.984547;-1.240119;-0.9002452;-0.556689;-0.4209476;-0.9052995;-0.05688529;0.5539337;-0.3212949;-0.7680671
14;LigamentumFlavum;1;0.3885581;1.229015;1.910419;-1.240119;-0.9002452;-0.556689;-0.4209476;-0.9052995;-0.05688529;0.5565539;-0.3236408;-0.7651826
15;LigamentumFlavum;1;0.363726;1.090177;1.692606;-1.240119;-0.9002452;-0.556689;-0.4209476;-0.9052995;-0.05688529;0.5569829;-0.3213246;-0.7658463
16;LigamentumFlavum;1;0.2831717;0.9472216;1.525251;-1.240119;-0.9002452;-0.556689;-0.4209476;-0.9052995;-0.05688529;0.5575777;-0.3206108;-0.7657127
17;LigamentumFlavum;1;0.25512;0.8500658;1.408798;-1.240119;-0.9002452;-0.556689;-0.4209476;-0.9052995;-0.05688529;0.5587943;-0.3189629;-0.765514
18;LigamentumFlavum;1;0.2670066;0.7605578;1.281768;-1.240119;-0.9002452;-0.556689;-0.4209476;-0.9052995;-0.05688529;0.5582661;-0.3170969;-0.7666737
19;LigamentumFlavum;0.9112587;0.1129254;-0.0291272;0.5214235;-1.202762;-0.8199082;-0.5516418;-0.4209476;-0.9052995;-0.05688529;0.5583387;-0.2957735;-0.7750974
20;InterspinousLigament;0.4918753;0.09921717;-0.02892115;0.3233096;-1.026224;-0.4402406;-0.527784;-0.4209476;-0.9052995;-0.05688529;0.5756961;-0.240908;-0.7813689
21;Muscle;0;0;0;0;-0.8126731;0.02614331;-0.4886633;-0.3190919;-0.9460593;-0.0561439;0.6127042;-0.1607353;-0.7737944
22;Muscle;0;0;0;0;0.003361264;0.565211;-2.015956;-0.2993318;-0.7986894;-0.5220112;0.7787084;0.1116601;-0.6173696
23;Muscle;0;0;0;0;0.02523909;0.2900589;-2.025622;-0.2228206;-0.8759275;-0.4279042;0.7458661;0.1294581;-0.6533945
24;Muscle;0;0;0;0;0.1448722;0.2545004;-1.936053;-0.1056211;-0.9138388;-0.3921006;0.700828;0.2113274;-0.6813082
